NAME,POS,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM SNAP %,Rec,Catch %,TD
"Kendrick Green","OL","HOU",2,"","","",2,"",7,"","",57,"","","","","","",55,50,7,178,10,16.1,,,
"Blake Hance","OT","JAX",2,"","","","","","","","",21,44,1,"","","",2,7,16,6,97,10,17.5,,,
"Patrick Mekari","OL","BAL",1,60,47,63,57,78,68,59,68,57,63,61,65,72,"",49,62,63,6,998,58,89.9,,,
"Christian Mahogany","G","DET",3,"","","","","","","","","","","","","",3,"",65,2,5,75,10,6.5,,,
"Jon Gaines II","C","ARI",2,"","","","","","","","",1,7,"","","",2,5,"",2,5,22,1,2,,,
"Nick Leverett","OL","ARI",3,"",2,"",55,60,"","","","","","","","","","","","",5,122,20,27.7,,,
"Sam Mustipher","C","LAC",3,"","","",56,"","","","","",1,3,"","","","",6,34,5,105,8,14,,,
"Sam Mustipher","C","LAC",3,"","","",56,"","","","","",1,3,"","","","",6,34,5,105,8,14,,,
"Trystan Colon","G","ARI",3,"",6,"","",20,53,37,40,41,59,"",58,67,"","","","",5,386,22,35.2,,,
"Creed Humphrey","C","KC",1,54,65,74,62,84,"",70,72,85,68,55,74,71,69,75,74,62,3,1117,65,97.3,,,
"Joe Thuney","G","KC",1,54,65,74,62,84,"",70,72,85,68,55,74,71,69,75,74,62,3,1117,65,97.3,,,
"Mike Caliendo","G","KC",1,"","",3,2,"","","",1,4,"",4,1,7,1,75,74,62,3,237,13,20.6,,,
"Michael Dunn","G","CLE",2,"","","","","",57,84,"",2,"",3,7,"","",4,3,8,3,171,13,18.9,,,
"Matt Hennessy","OL","SF","","","","","","","",12,"","","","","","","","","","",3,15,2,2.4,,,
"Mike Onwenu","OL","NE",1,65,68,52,64,60,66,60,67,69,64,76,69,72,"",51,73,42,3,1021,60,93.4,,,
"Trey Smith","G","KC",1,54,65,74,62,84,"",70,72,85,68,55,74,71,69,75,74,62,3,1117,65,97.3,,,
"Chris Hubbard","OT","NYG",2,"","","","","","","",72,65,"","",55,63,"","","","",2,257,32,36.4,,,
"Lecitus Smith","C","NE",3,"","","","","","","",3,"","","","","","","","","",2,5,0,0.7,,,
"Olisaemeka Udoh","OL","NO",3,6,6,53,4,"","","","",1,13,4,"","","","","",60,2,149,10,13.7,,,
"AJ Arcuri","OT","LAR","",51,"","","","","","","","","","","","","","","","","",51,25,35.4,,,
"Aaron Banks","G","SF","",56,70,71,63,64,51,63,68,"",64,63,42,"","",54,46,"","",775,59,82.5,,,
"Anthony Bradford","G","SEA","",66,55,64,54,40,70,45,40,80,"",60,4,"","","","","","",578,52,77.9,,,
